гэж	as,that
хожигдогч	loser
хоккей	hockey
хөл бөмбөг	football
хүндийн өргөлт	weight lifting
цанын спорт	skiing
цом	cup
шатар	chess
ширээний теннис	ping pong
эмээл	saddle
ялагч	winner
ажил алба	jobs and work
аж ахуйн эзэн	farmer
багш	teacher
бие хамгаалагч	bodyguard
бизнесмен	businessman
бичээч	typist
бүжигчин	dancer
гал сөнөөгч	fireman
гоо сайханч	beautician
гэрийн багш	tutor
дуучин	singer
жолооч	driver
жүжигчин	actor/actress
зохиолч	writer
зураач	artist
илбэчин	magician
инженер	engineer
касс	cashier
менежер	manager
механик	mechanic
мөрдөгч	detective
мужаан	carpenter
ня-бо	accountant
орчуулагч	translator
сэтгүүлч	journalist
талхчин	baker
цагдаа	policeman
уих-ын гишүүн	parliament
үсчин	barber
хаалгач	doorman
харваач	archer
хөлсний ажилчин	wage worker
хуульч	lawyer
цэвэрлэгч	cleaner
шууданч	postman
шүдний эмч	dentist
шүүгч	judge
эмч	doctor
худалдаа	business
наймаа	business
албан татвар	tax
баланс тэнцэтгэл	balance
барьцаа.зээл	mortgage
бэлэн мөнгө	cash
гэрээ, хэлцэл	contract
данс тооцоо	account
жилийн тайлан	annual report
зээл	credit
орлого	income
өртөг шан	fee
өр төлбөр	debt
санхүү-н шалгалт	audit
сонирхол	interest
түрээс	rent
удирдлага	management
үнэт цаас	bond
үнэ өртөг	cost
хандив	donation
хөрөнгө	capital
хөдөлмөрийн  гэрээ	labor contract
хөрөнгө оруулалт	investment
худалдаа	commercial
хувь ноогдол	quota
хувьцаа	stock
хувьцааны ноогдол	value
хүү.хувь	profit
цалингийн цэс	payroll
цалин хөлс	wage/salary
цуцлалт	write off
эдийн засаг	economy
эд юмс ба багаж	tools
алх	hammer
амны алчуур	napkin
бахь	pliers
бугуйвч	bracelet
бугуйн цаг	watch
гар цүнх	handbag
зангианы хавчаар	tie tack/clip
зүү	needle
зээлийнкарт	credit card
нимгэн цаас	tissues
нусны алчуур	handkerchief
нүдний шил	eyeglasses
сам	comb/brush
сойз	toothbrush
сүх	axe
тооны машин	calculator
түлхүүрийн оосор	key chain
түрийвч	wallet
үдээсний машин	stapler
үсний хавчаар	hairpin
хадаас	nail
хайч	scissors
хаягийн ном	address book
хөзөр	deck of cards
хөрөө	saw
хуруувч	thimble
хүзүүний зүүлт	necklace
цаасны хавчаар	paper clips
цүнх	briefcase
шүхэр	umbrella
ээмэг	earrings
үйл үгс	verbs
айх	to be afraid
аялах	to travel
барих	to build
барилга	to build
барьж авах	to catch
бодох	to think
болох	to be
байх	to be
бороо орох	to rain
будах	to paint
буцалгах	to boil
бүжиглэх	to dance
гайхах	to be surprised
гэрлэх	to be married
дуу гаргах	to sound
дуртай	to like
дуусах	to finish
жолоодох	to drive
завгүй байх	to be busy
завтай байх	to be free
зажлах	to chew
зарцуулах	to spend
өнгөрөөх	to spend
зогсох	to stand
зочлох	to visit
зөв бичих	to spell
зурах	to draw
идэх	to eat
инээх	to smile
итгэх	to believe
мартах	to forget
мөлхөх	to climb, crawl, creep
мөнгө олох	to earn
наах	to stick
нисэх	to fly
оёх	to sew
ойлгох	to understand
онгойлгох	to open
орилох	to shout
орчуулах	to translate
өвдөх	to be sick
өлсөх	to be hungry
өмсөх	to wear
зүүх	to wear
сайжруулах	to improve
санах	to remember
солих	to change
сэлэх	to swim
сэрэх	to wake up
таалах	to enjoy
тайлах	to take off
талархах	to be glad
товч тайлах	to unbutton
тоолох	to count
түрүүлэх	to win
тэвчих	to endure
тэжээх	to feed
тэмдэглэх	to celebrate
угаах	to wash
уйлах	to cry
унших	to read
урих	to invite
усанд орох	to bathe
утсаар ярих	to call
уулзах	to meet
уурлах	to get angry
үзэх	to see
үнэрлэх	to smell
хаах	to close
хагалах(мод)	to chop (wood)
хазах	to bite
хаях	to throw
шидэх	to throw
хоол хийх	to cook
хоцрох	to be late
хөлрөх	to sweat
хөдлөх	to move
хөхрөх	to laugh
хувилах	to copy
худалдах	to sell
хүсэх	to want
хүрч ирэх	to arrive
хэвтэх	to lie
хэрэглэх	to use
хэрчих	to cut
хэрэгтэй байх	to need
цадах	to get full
цангах	to be thirsty
цас орох	to snow
цахилгаан татах	to zipper
цоожлох	to lock
чадах	to be able
чанах	to brew
шумбах	to dive
эвдэх.хагалах	to break
эргэх	to turn
эрэх	to look for
хайх	to look for
ядрах	to tire
ярих	to speak
ярилцах	to talk
тэмдэг нэр	adjectives
алтан	gold
амархан	easy
анхны	first
бага зэрэг	a little bit
бороотой	rainy
бохир	dirty
буржгар	curly
бүдүүн	thick
бүрхэг	overcast
гоолиг	slender
гоё	beautiful
дундуур	half full
дүүрэн	full
жаахан	a little
залхуу	lazy
зөвхөн	only
илүү сайн	better
инээдтэй	funny
муухай	ugly
намхан	short
нартай	sunny
нил ягаан	violet/purple
өвчтэй	sick
өтгөн	strong
салхитай	windy
тарган	fat
тоостой	dusty
тэнэг	stupid
тэгш	flat
ухаантай	clever
үнэтэй	expensive
халтиргаатай	slippery
хамгийн муу	worst
хөгшин	old
хуурай	dry
хүрэн	brown
хэцүү	difficult
хямдхан	cheap
цайвар шаргал	beige
цастай	snowy
цөөхен	few
шаргал	orange
шингэн	weak
сул	weak
эвдэрхий	broken
ягаан	pink/rose
асуух үг	question words
аль	which
хаашаа	where to
хаанаас	where from
хэзээ	when
хэнд	to whom
хэний	whose
хэр их	how much
хэр олон	how often
юу	what
юунд	to what
яаж	how
үлдээх	v. to void, omit
асах	v. to ignite
тэртээ	prep. beyond
нийлэх	v. to unite
очих	v. to visit
хашхиралдах	v. to yell
хашгиралдах	v. to yell
гаргах	v. to launch, issue
гялайлаа	thank you
цааш	adj. farther
хойно	adj. then, after, behind
харлах	v. to feel sick or faint, to darken
мичид	n. evening star
гэрэлтэх	v. to shine
чичрэх	v. to shake
элгэн	adj. chesnut,maroon
цав	n. fissure, slit
цалин	n. salary
хазаар	n. bridle, bit
торгон	n. silk
давхих	v. to gallop
үүр	n. dawn
цайх	v. to dawn
хожуул	n. stump,stub
бут	n. bush
арай	adj. near
ядах	v. to have difficulty
арай ядан	adj. barely, hardly
шүүдэр	n. dew
бүрхэх	v. to cover
хөрөх	v. to freeze
хөших	v. to become numb, stiff
ухаа	adj. reddish
хонгор	adj. lovable
мандах	v. to rise
ээх	v. to warm
дулаацуулах	v. to heat up
хяруу	n. white frost
хатаах	v. to dry
өдөржингөө	adv. all day long
аглаг	n. solitude
тойруулах	v. to encircle, get around
гавал	n. skull
цүү	n. spike
балмагдах	v. to be afraid
хөшөө	n. monument, memorial
мэт	adj. somewhat
шингэх	v. to be absorbed, soaked, set
дээрх	prep. above
гэгээ	n. daylight, glow
дагжих	v. cower, shake
чичирсэн	adj. shivery, tremulous
аймшиг	n. awe, fear
зугтах	v. to avoid, flee
шигдэх	v. to sag, sink
доргих	v. to chatter, jiggle, vibrate
сүр	n. grandeur, majesty
чимээ	n. clamour, news, noise, word
бол	and, are, hold
суугаа	n. resident
нүдүүр	n. beater, pounder
шүүрдэх	v. to sweep, whisk
ирмэг	n. border, edge
дөхөх	v. to approach
доор	prep. below, beneath
бөхийх	v. to bend, bow
дор	prep. downstairs, under
даруу	adj. decent, humble, lowly
ир	n. blade, edge, spike
явуулах	v. despatch, send
хамаатан	n. kin, relative
цүг	adj. together
олдох	v. to be available
гэсэх	v. defrost
бат	adj. firm, steady
бөх	adj. firmness, strong
онгойх	v. to open
баялаг	n. abundance, exuberance, gold
үүд	n. gate, portal
нээгдэх	v. to open
хашгирах	v. exclaim, shout
урах	v. to germinate,grow
гуядах	v. flog
завдах	v. to intend, manage
хус	n. boy
орчих	v. spin, wheel
үүн	pron. it
бүү	no
шавхуурдах	v. flog, smack
дагуулах	v. append, guide
болиулах	v. cease, suspend
дэргэд	prep. beside, near
ухасхийх	v. recoil
хахир	adj. rugged, stern
над	pron. me
амар	n. rest, peaceful
маажих	v. to scratch
вандан	n. board, bench
хувин	adj. pitcher, bucket
дэгдээх	v. to stir up
дөчин	adj. forty years
аяга	n.	cup
дэгдээхий	adj. fledgling
нугас	n. duck, brain
боов	n. bun,turnover
амтат	adj. sweet
бал	n. noun
хөөсрөх	v. to foam, froth
исгэлэн	adj. eager, sour
хэм	n. degree, measure
цөм	n. core, nucleus
булан	n. anger, angle, nook
шуудай	n. bag, sack
ялгаа	n. departure, discrepancy, difference
биелүүлэх	v. to fulfill
дүнгэнэх	v. to buzz, drone
хурхирах	v. to snore
эдлэх	v. to consume, taste
алба	n. employment
хариу	n. answer
гуних	v. to grieve
сэргэлэн	adj. alive, animated
тайван	adj. calm, composed
аргадах	v. appease, coax
дөнгөх	v. to barely do something
шувуухай	n. small bird
цэнхэр	adj. azure, blue
бүгдээрээ	adj. all
нашаа	adv. here
саатах	v. to linger, overstay
үй түмэн	n. multitude
дуугарах	v. clang, clatter
үр	n. kernel, seed
мөхлөг	n. grain, granule
тийш	prep. toward
үртэс	n. chip, crumb
ялгах	v. determine, differentiate, segregate, identify
олз	n. loot, plunder
омог	n. capture, pride, stem, kindred
намуу	n. poppy
цэцгийн	adj. floral
холилдох	v. to blend, jumble
бүгд	n. everybody, everyone
салгах	v. to deliver, detatch, disengage
гадаа	adj. outside
хангинах	v. blare, clang, jingle
шүгэлдэх	v. hiss, whistle
одоо	adv. now
уур	n. anger, wrath, vapor
шүүрэх	v. to grab, percolate, leak, grasp
цангинуулах	v. to shout in a shrill voice
алс	adj. far
амбаар	n. barn
сав	n. can, container, vase, uterus
айл	n. family
оготно	n. mouse
нааш	adv. this way
шуудайлах	v. to put in a bag
аяга	n. cup, bowl
цаагуур	adv. further, other side
шажигнах	v. creak, grate, sputter
навчис	n. leaf
шаржигнах	v. sizzle
пийшин	n. cooker, furnace
чих	n. ear, dock
чагнах	v. listen, monitor
дуулах	v. chant, crow
дуулдах	v. arise, carry
тавиур	n. leg, mat, stand
тавхай	n. foot, sole
хучих	v. envelop, inlay, tuck
дайлах	v. entertain, treat
энхрий	adj. affectionate, beloved, gentle
салах	v. conquer, divide, separate
амин	adj. crucial, essential, important
тод	adj. articulate, bold, bright
түлэх	v. burn, scald, sear
халаах	v. scorch, warm, heat
тус	v. profit, boost, help
хүргэх	v. bring, deliver, extend, touch
бэлэглэх	v. donate, give, present
шунаг	adj. lascivious
ул	n. relic, sole
зугтаах	v. abscond
эрс	adj. categorical, overwhelming
харайх	v. bounce, dance, jump
ороолгох	v. flog
мөчир	n. branch, graft, twig
өнгийн	adj. chromo-
тууз	n. band, ribbon
өлгөх	v. hang, suspend, dangle
хаагдах	v. shut
тос	n. fat, grease, oil
түрхэх	v. dab, paint, smear
сохлох	adj. blind
сугалах	v. draw, extract, pull
суулгах	v. install, diarrhea, embed
зүг	n. direction, way
сэдэх	v. brew, invent, plan, contrive
ёс	n. ceremony, procedure
эрхэмлэх	v. prefer, preference
дээдлэх	v. prefer
уламжлал	v.tradition, legacy
соёл	n. culture
заншил	n. custom, habit, ritual
багаар	adj. less
алдагдал	n. detriment, disadvantage, loss 
суртахуун	n. morals, ethics
доройтох	v. languish, fall
буй	adj. existing
өнөө	adv. now, today
залуусын	adj. junior
санаачлах	v. to initiate, dream up, invent
дээшлүүлэх	v. to upgrade
энэхүү	n. the present
уралдаан	n. race, match
зорилго	n. point, purpose
орших	v. to exist
цацарч	n. marquee
суниах	v. to go
биеийн	adj. personal, bodily
чилэх	v. to go numb
өрөөнд	adj. indoors
зүтгэх	v. to endeavor, to seek
өгөө	n. obligation
гүйн	adv. hurriedly
дураараа	adj. willful, contrary, unsubmissive
хичнээн	how many
хэлтэрхий	n. chip, morsel, fragment
чангаар	adj. loud, high
биз	presumably
ургах	v. fertile, germinate, grow
уяа	n. cord, lacing, line
чимсэн	adj. decorated, ornate
тосолсон	adj. oil
хилэгнэх	v. to get angry
нүдэх	v. knock, pound, flail
эвдэх	v. demolish, scrap
цавчих	v. hack, hew
ядарч	adv. wearily
оронд	adv. instead
эцэх	v. to tire, weary
араас	prep. after
хөөсөн	adj. swollen
загнах	v. admonish, scold
зүхэх	v. abuse, curse
унтрах	v. burn out, die
нэмэр	n. supplement
унтарсан	adj. dead, extinct
ширтэх	v. stare at
гал	n. fire, heat
хатгах	v. bite, incite, instigate
нуугдах	v. hide, shelter, disappear
гүйх	v. to run, frisk
тийнхүү	adv. accordingly, such
цоо	adj. completely
булах	v. bury
хүссэн	adj. impatient, longing
уйтгар	n. boredom, flatness, sadness, weariness
чанар	n. attribute, character
маалинга	n. flax
ээрүүл	n. spindle, spinning wheel
эргэлдэх	v. reel, revolve, whirl
нарийхан	adj. delicate, slim
эвхэх	v. fold
утсаар	v. to wire
даавуу	n. cloth, jeans
торго	n. silk
гоёмсог	adj. elegant, delicate
сүвлэх	n. thread
алдах	v. lose,fail, mistake
зарах	v. sell, exert
ордон	n. castle, palace
аваачих	v. to take away
үнэлэх	v. apprise, price, measure
бэлэг	n. donation, gift, grant
сайшаагдах	v. approve
талархах	v. acknowledge, thank
зүрхлэх	v. dare, presume
тун	adv. absolutely, greatly, very
чиг	n. landmark
эвдэх	v. breach, trample
вий	conj. lest
эсгэх	v. to cut off
айх	v. to recoil
ийм	adj. such
хийц	n. fabric, cloth
оёо	n. stitch
тэгвэл	conj. when...,if...
тушаах	v. to submit, surrender, order
сувд	n. pearl
зарц	n. servant
үзэгдэх	v. to appear
өдрөөс	from day
хойш	adj. next, hence
цагаахан	adj. white
өөрийнхөө	pron. my
удалгүй	adj. soon
хурим	n. wedding
ая	n. situation, condition, sound
тусч	adj. helping
хөөрхөн	adj. cute, nice
халаас	n. pocket
эрхэм	adj. important, master
зочид	n. guests
золгох	v. to meet
дархан	n. artisan, craftsman
хулгай	n. robbery, theft
харуул	n. convoy, escort, guard
манаа	n. guard, patrol, sentinel
болих	v. quit, discontinue
уруу	adj. downhill, downstream, downcast
царай	n. expression, look
гуниглах	n. regret
тайтгаруулах	v. appease, calm, console
хөвгүүдийн	adj. boyish
гутрах	v. gloom, droop
өөрсдөө	pron. themselves
манах	v. to guard, patrol
онцолсон	adj. emphatic
өвсөн	adj. grassy
зүүрмэглэх	v. nap, snooze
хонох	v. sleep, stay over
баярлуулах	v. indulge
эд	n. stuff, thing
нойр	n. dream, slumber
өвс	n. grass, hay, pasture
бүүр	adv. already
модон	adj. wooden
тонших	v. knock, peck
гэтэх	v. creep, sneak, prowl
өд	n. feather, pinion
одох	v. depart
гэмтэн	n. guilt, wrongdoing
хүндэт	adj. dear, honorable
амьтан	n. animal
мултрах	v. to slip away
баярлах	v. appreciate, rejoice, thank
мориор	n. riding
мордох	v. to ride
туулах	v. confront, pass, conquer
нутгийн	adj. native
буун	n. shot, discharge, report
чөдөрлөх	v. clog, fetter
унтаа	adj. dormant
баах	v. defecate
мөлжих	v. gnaw, milk, exploit
унаа	n. movement, transportation
халаглах	n. tut
заяа	n. luck
явган	adj. by foot, pedestrian
үхтлээ	adj. dead
зүлгэх	v. swab, brighten
өрөвдөх	v. pity, sympathize
зориг	n. confidence, daring, nerve
чонын	adj. like a wolf
шүргэх	v. contact, kiss, rub
хурдлах	v. race, lick
торон	adj. lacy, meshy
давах	v. confront, conquer, outdo
өвөр	adj. front, inside
цайз	n. castle, fortress
үлээх	v. inflate, puff, gas
хэц	n. tambourine
бөмбөр	n. drum
дэлдэн	adj. lop eared
сэрээх	v. awaken, rouse
ичгүүр	n. disgrace, humiliation
эцгийн	adj. paternal
хүндлэх	v. honor, regard,respect
шившиг	adj. disgrace, dishonor
даяар	adv. all over, throughout
зарлах	v. advertise, announce
дуугүй	adj. noiseless, silent
өршөөх	v. excuse, pardon, forgive
дэл	n. mane
гунихрах	v. to grieve
гуйх	v. beg, ask
суу	adj. genius
жүчээ	n. stall
орон	n. house, nation, situation
чулуун	adj. stony
шигтгээ	adj. inlaid
санагдах	v. appear, seem
гүнж	n. princess
асрагч	n. guardian, trustee
шивэгчин	n. maidservant
буцах	v. back, forswear, go, return
гүйцэх	v. outpace
олуул	n. flock
зугаалах	v. journey, stroll
дүүрэх	v. fill, pervade, swim
утгах	v. shovel, ladle
хөөх	v. chase away, eject
тэгэхэд	conj. whereas
хаа	n. whereabouts
нуух	v. cloak, conceal
хувирах	v. change, convert
тонгорох	v. somersault, spill
адил	n. analogy
найр	n. ball, feast
хоншоор	n. toe, muzzle
харагдах	v. appear, look
орноос	v. to get up out of bed
харамсах	v. to regret, be disappointed
хөтлөх	v. lead, prosecute
төрөлх	v. inherent, inborn, natural
бэгийн	adj. donative, gratuitous
авчруулах	v. send for
цочирдох	v. shocked
падхийн унар	n. thud
хүндэтгэх	v. adore, appreciate
үүр	n. cell, dawn, daylight
үүрд	n. eternity
биелэх	v. materialize
нутаг	n. habital, land
шийдэх	v. decide, conclude
хуваах	v. divide, bisect
хоосан	adj. deceitful, futile, bare, empty
дайралдах	v. to come across something
хамаг	adj. everything
тохиролцох	v. arrange, bargain, concert
айлгах	v. endanger, bluff, frighten, intimidate
сүрдүүлэх	v. browbeat, intimidate
зуурах	v. grip, deadlock
билгийн	adj. fateful
мөнхийн	adj. eternal, everlasting
суллах	v. discharge, release
тул	conj. because, on account of
шарх	v. cut, wound
аних	v. close
эдгэрэх	v. recover
сэргэх	v. awaken
омгийн	adj. tribal
алах	v. assassinate, kill
тараах	v. carry, chase, dismiss
өөртөө	pron. oneself
аян	n. campaign, crusade, expidition
тайтгарах	v. quieten
жаргах	v. delight, pleasure
дүү	n. cousin
элдэх	v. crumple
элбэг	adj. bountiful, copious
дэлбэг	adj. lavish, luxuriant
агуулах	v. embody, store, reservoir
арвай	n. barley
бужигнах	v. to be muddled
орчин	n. environment
амжуулах	v. to manage in
хичээх	v. to take care, struggle
өмсүүлэх	v. to wear
гялс	adv. passingly
дуусгах	v. to finish
мундаг	adj. huge
аягүй	adj. unbecoming
бараг	adj. A kind of ___,almost/nearly something____
эртхэн	adjv. go without delay
оруулах	v. to introduce, set up, go
бэлдэх	v. to prepare
хань	n. partner
гайгүй	adj. not too bad
таших	v. clap
нуга	n. lawn
бэлчих	v. graze
хөвсгөр	adj. fryable
намаг	n. swamp
намгийн	adj. growing in a wet or swampy area
атга	n. handful
чимх	v. handful
ширхэг	n. fiber, piece
аргаа барсан	adj. desperate
зээлдүүлэх	v. lend, loan
тэг	n. nothing
гадар	n. outside, jacket, surface
өгөөрэй	interj. please
зайл	adj. away
өр	n. debt, liability
зээл	n. credit, loan
тавь	adj. fifty
гомдоох	v. annoy, grieve
өлөн	adj. hungry
хоосон	adj. blank, deceitful, futile
дэггүйтэх	v. wanton
чиглэх	v. focus, steer, trend
асар	n. citadel, pavilion, tent
царс	n. oak
хонгил	n. basement, corridor, tunnel
хийсгэх	v. blow away
харих	v. return, reverse
төлөө	prep. for, on behalf of
шидэт	n. wizard, fairy
бүтээлгийг авах	v. uncover
бүхэн	adj. each
доошоо	prep. down
гоо	adj. pretty
амралт	n. vacation
залгах	v. plug in
бассейн	n. pool
тэгэнгээ	conj. while
уралдах	v. to race
хаачих	v. where are you going
ийш	adv. here
бөөнөөрөө	adv. quickly
захиалах	v. order
хага	n. burst
соруулах	v. suck
холдох	v. to withdraw
алив	phrase. let's
онгоц	n. plane
динозавр	n. dinosaur
буух	v. get off
цадтал	adv. to glut
ундлах	v. offer food
атаархах	v. envy
бүлтийх	v. stare
тэнд	adv. there
манайх	n. house
бүлэх	v. jab, stab
бүтээлэг	n. blanket
өрөг	n. game
бий	v. have
дэлгэх	v. display
атаархах	v.envy
улайх	v. confess, flush, redden
цатгалан	adj. satiated
элэгсэг	adj. loving
үдэх	v. see off
ижил	adj. same
унд	n. dish, beverage
цэмцийх	v. to become element
бүтээл	n. invention, work
гаслах	v. to mourn
зоорь	n. cellar
